categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.055799998342990875,1.1464382410049438,0.07329999655485153,0.8929755687713623
0.06651999801397324,0.8114604949951172,0.06960000097751617,0.7594924569129944
0.06518000364303589,0.7076789736747742,0.07000000029802322,0.6810702085494995
0.0701799988746643,0.6523047685623169,0.07109999656677246,0.6328867077827454
0.06379999965429306,0.6122871041297913,0.07169999927282333,0.6003996729850769
0.06774000078439713,0.5786158442497253,0.07119999825954437,0.5720796585083008
0.060520000755786896,0.552402675151825,0.06939999759197235,0.5591145753860474
0.06601999700069427,0.5286456346511841,0.06989999860525131,0.5263451337814331
0.061400000005960464,0.5083970427513123,0.0689999982714653,0.510972261428833
0.060419999063014984,0.4929013252258301,0.0706000030040741,0.49769696593284607
