binary_accuracy,loss,val_binary_accuracy,val_loss
0.903124988079071,0.5242069959640503,0.9850000143051147,0.43744033575057983
0.996874988079071,0.2992326021194458,0.9975000023841858,0.304718941450119
0.9981250166893005,0.2111574411392212,0.9975000023841858,0.23317644000053406
0.9987499713897705,0.1648106724023819,0.9975000023841858,0.18953152000904083
0.9987499713897705,0.13620519638061523,1.0,0.160206139087677
0.9987499713897705,0.11674194037914276,1.0,0.13921378552913666
0.9987499713897705,0.10264246165752411,1.0,0.12350534647703171
0.9987499713897705,0.09191799908876419,1.0,0.11132731288671494
0.9987499713897705,0.08348160982131958,1.0,0.10161464661359787
0.9987499713897705,0.07666054368019104,1.0,0.09362360090017319
0.9987499713897705,0.07101812958717346,1.0,0.0869525745511055
0.9987499713897705,0.06627584248781204,1.0,0.08135069161653519
0.9987499713897705,0.062223099172115326,1.0,0.07650914043188095
0.9987499713897705,0.058722104877233505,1.0,0.07233668863773346
0.9987499713897705,0.055655959993600845,1.0,0.0686563104391098
0.9987499713897705,0.05295509472489357,1.0,0.06539912521839142
0.9987499713897705,0.05055109038949013,1.0,0.06250640749931335
0.9987499713897705,0.048395201563835144,1.0,0.05990893021225929
0.9987499713897705,0.046455927193164825,1.0,0.05754706263542175
0.9987499713897705,0.04469451308250427,1.0,0.05540081486105919
0.9987499713897705,0.04309279844164848,1.0,0.05344410240650177
0.9987499713897705,0.04162506014108658,1.0,0.05164474621415138
0.9987499713897705,0.04027499631047249,1.0,0.050005439668893814
0.9987499713897705,0.03903137519955635,1.0,0.04848587140440941
0.9987499713897705,0.03787771984934807,1.0,0.04705989360809326
0.9987499713897705,0.03680805861949921,1.0,0.04573864862322807
0.9987499713897705,0.035809971392154694,1.0,0.04451647773385048
0.9987499713897705,0.0348784513771534,1.0,0.04337313771247864
0.9987499713897705,0.03400615602731705,1.0,0.042295198887586594
0.9993749856948853,0.0331873819231987,1.0,0.041293878108263016
0.9993749856948853,0.03241758421063423,1.0,0.0403435118496418
