binary_accuracy,loss,val_binary_accuracy,val_loss
0.9943749904632568,0.07174120098352432,0.987500011920929,0.12393190711736679
0.9962499737739563,0.06462372839450836,0.9900000095367432,0.10769197344779968
0.9962499737739563,0.05934758484363556,0.9950000047683716,0.09563044458627701
0.9975000023841858,0.05524437129497528,0.9975000023841858,0.08631391823291779
0.9981250166893005,0.05193652585148811,0.9975000023841858,0.07894878089427948
0.9981250166893005,0.04919496551156044,1.0,0.07298972457647324
0.9981250166893005,0.04686196148395538,1.0,0.06804126501083374
0.9981250166893005,0.04484210163354874,1.0,0.0638735368847847
0.9987499713897705,0.04306264966726303,1.0,0.0602855384349823
0.9987499713897705,0.04147850349545479,1.0,0.057194408029317856
0.9987499713897705,0.040054310113191605,1.0,0.054510604590177536
0.9987499713897705,0.03876454010605812,1.0,0.052139539271593094
0.9987499713897705,0.03758607059717178,1.0,0.05002985894680023
0.9987499713897705,0.03650208190083504,1.0,0.048136044293642044
0.9987499713897705,0.03549725189805031,1.0,0.046422265470027924
0.9987499713897705,0.03456686809659004,1.0,0.044865693897008896
0.9987499713897705,0.0336986742913723,1.0,0.04345487058162689
0.9987499713897705,0.032889220863580704,1.0,0.04216120392084122
0.9987499713897705,0.032129306346178055,1.0,0.040963415056467056
0.9987499713897705,0.03141382336616516,1.0,0.039858464151620865
0.9987499713897705,0.030740344896912575,1.0,0.03883737325668335
0.9987499713897705,0.030104881152510643,1.0,0.03789030760526657
0.9987499713897705,0.029502443969249725,1.0,0.036995429545640945
0.9987499713897705,0.028929851949214935,1.0,0.03615497797727585
0.9987499713897705,0.028387412428855896,1.0,0.03537824749946594
0.9987499713897705,0.027869977056980133,1.0,0.03463564068078995
0.9987499713897705,0.0273777823895216,1.0,0.03394387289881706
0.9987499713897705,0.02690839022397995,1.0,0.03328205272555351
0.9987499713897705,0.02645803987979889,1.0,0.032665882259607315
0.9987499713897705,0.026028521358966827,1.0,0.032071009278297424
0.9987499713897705,0.02561718039214611,1.0,0.03150703012943268
0.9987499713897705,0.02522282861173153,1.0,0.03096977435052395
0.9987499713897705,0.024843959137797356,1.0,0.03045685775578022
0.9987499713897705,0.02447938360273838,1.0,0.029967855662107468
0.9993749856948853,0.024129636585712433,1.0,0.02949836663901806
0.9993749856948853,0.023791346698999405,1.0,0.029049361124634743
0.9993749856948853,0.02346710115671158,1.0,0.02861868590116501
0.9993749856948853,0.023153210058808327,1.0,0.028208402916789055
0.9993749856948853,0.022850213572382927,1.0,0.0278118085116148
0.9993749856948853,0.022558188065886497,1.0,0.02742951549589634
0.9993749856948853,0.022277455776929855,1.0,0.02706054598093033
0.9993749856948853,0.022003550082445145,1.0,0.026708809658885002
0.9993749856948853,0.02173995040357113,1.0,0.02636571228504181
0.9993749856948853,0.02148337848484516,1.0,0.026037389412522316
0.9993749856948853,0.021236808970570564,1.0,0.025722965598106384
0.9993749856948853,0.02099612168967724,1.0,0.025415318086743355
0.9993749856948853,0.020764587447047234,1.0,0.025118302553892136
0.9993749856948853,0.02053789049386978,1.0,0.024829542264342308
0.9993749856948853,0.020318612456321716,1.0,0.024551773443818092
0.9993749856948853,0.020105313509702682,1.0,0.02428349107503891
0.9993749856948853,0.019898466765880585,1.0,0.024023747071623802
0.9993749856948853,0.019697247073054314,1.0,0.023769639432430267
0.9993749856948853,0.019501561298966408,1.0,0.02352290414273739
0.9993749856948853,0.01931118406355381,1.0,0.02328135445713997
0.9993749856948853,0.019125405699014664,1.0,0.023045793175697327
0.9993749856948853,0.018944567069411278,1.0,0.022818103432655334
0.9993749856948853,0.018768249079585075,1.0,0.022595888003706932
0.9993749856948853,0.018596448004245758,1.0,0.022380342707037926
0.9993749856948853,0.01842956617474556,1.0,0.022169768810272217
0.9993749856948853,0.01826665550470352,1.0,0.02196568250656128
0.9993749856948853,0.018106458708643913,1.0,0.021764501929283142
0.9993749856948853,0.01795170269906521,1.0,0.02157052978873253
0.9993749856948853,0.017799915745854378,1.0,0.02138054184615612
0.9993749856948853,0.017651217058300972,1.0,0.02119678072631359
