accuracy,loss,val_accuracy,val_loss
0.0,0.9410010576248169,0.0,0.54044109582901
0.0,0.4471573829650879,0.0,0.4264289140701294
0.0,0.39591842889785767,0.0,0.39696118235588074
0.0,0.3737308979034424,0.0,0.3860476315021515
0.0,0.3588937520980835,0.0,0.3867932856082916
0.0,0.34938710927963257,0.0,0.3664798438549042
0.0,0.34123021364212036,0.0,0.36480844020843506
0.0,0.3370349109172821,0.0,0.3586464524269104
0.0,0.3327423930168152,0.0,0.3493212163448334
0.0,0.32850611209869385,0.0,0.34853091835975647
0.0,0.3255797028541565,0.0,0.35292884707450867
0.0,0.3223119378089905,0.0,0.34559839963912964
0.0,0.31991952657699585,0.0,0.34021124243736267
0.0,0.3174888491630554,0.0,0.3424374759197235
0.0,0.3141680955886841,0.0,0.3454522490501404
0.0,0.31138741970062256,0.0,0.33646366000175476
0.0,0.3096981942653656,0.0,0.33972540497779846
0.0,0.3073084354400635,0.0,0.3292698860168457
0.0,0.3061498999595642,0.0,0.33263254165649414
0.0,0.3019329011440277,0.0,0.33087146282196045
0.0,0.30170366168022156,0.0,0.32583948969841003
0.0,0.2989591658115387,0.0,0.3366088271141052
0.0,0.29717522859573364,0.0,0.3259403109550476
0.0,0.296097069978714,0.0,0.3197096288204193
0.0,0.29306846857070923,0.0,0.32284805178642273
0.0,0.292380690574646,0.0,0.31680789589881897
0.0,0.2901444137096405,0.0,0.3206239640712738
0.0,0.29036760330200195,0.0,0.31783318519592285
0.0,0.28936848044395447,0.0,0.3173413574695587
0.0,0.2883874773979187,0.0,0.3189660310745239
0.0,0.28623539209365845,0.0,0.31209948658943176
0.0,0.2863602340221405,0.0,0.3158775568008423
0.0,0.28543946146965027,0.0,0.31319111585617065
0.0,0.28491759300231934,0.0,0.31093278527259827
0.0,0.28491827845573425,0.0,0.31965014338493347
0.0,0.2839805781841278,0.0,0.31035172939300537
0.0,0.28222930431365967,0.0,0.31130334734916687
0.0,0.2814846932888031,0.0,0.311751127243042
0.0,0.28049618005752563,0.0,0.3096843957901001
0.0,0.28098729252815247,0.0,0.3045068085193634
0.0,0.27982035279273987,0.0,0.31496843695640564
0.0,0.2792477011680603,0.0,0.30560430884361267
0.0,0.2786253094673157,0.0,0.30719056725502014
0.0,0.27829402685165405,0.0,0.30574995279312134
0.0,0.2777678966522217,0.0,0.308235764503479
0.0,0.276943564414978,0.0,0.3086414337158203
0.0,0.27770721912384033,0.0,0.3031146228313446
0.0,0.27534615993499756,0.0,0.3069394528865814
0.0,0.2740519642829895,0.0,0.3067498803138733
0.0,0.27580565214157104,0.0,0.305053174495697
0.0,0.2754269242286682,0.0,0.30165377259254456
0.0,0.27361196279525757,0.0,0.30299636721611023
0.0,0.2746557593345642,0.0,0.2989501655101776
0.0,0.27298808097839355,0.0,0.30527952313423157
0.0,0.27387481927871704,0.0,0.3146991431713104
0.0,0.27403268218040466,0.0,0.297188401222229
0.0,0.27262550592422485,0.0,0.30013781785964966
0.0,0.2716916501522064,0.0,0.30053985118865967
0.0,0.27163463830947876,0.0,0.2980085015296936
0.0,0.27019500732421875,0.0,0.3017348349094391
0.0,0.2731114327907562,0.0,0.30098652839660645
0.0,0.2706143856048584,0.0,0.29963418841362
0.0,0.2698344886302948,0.0,0.2943895757198334
0.0,0.2697035074234009,0.0,0.30894118547439575
0.0,0.26910126209259033,0.0,0.3039533495903015
0.0,0.2694353759288788,0.0,0.2987217903137207
0.0,0.26917019486427307,0.0,0.29622358083724976
0.0,0.26790162920951843,0.0,0.2952636182308197
0.0,0.2675968408584595,0.0,0.29612499475479126
0.0,0.2676488757133484,0.0,0.3103034794330597
0.0,0.2670048475265503,0.0,0.30219411849975586
0.0,0.26785972714424133,0.0,0.2995901107788086
6.11807918176055e-05,0.26646891236305237,0.0,0.3056698739528656
0.0,0.2663183808326721,0.0,0.29901716113090515
0.0,0.26541659235954285,0.0,0.29776549339294434
0.0,0.26707473397254944,0.0,0.300027996301651
0.0,0.2654544413089752,0.0,0.3004556894302368
0.0,0.2665368318557739,0.0,0.29473844170570374
0.0,0.26573893427848816,0.0,0.2962290346622467
0.0,0.2649605870246887,0.0,0.2920137345790863
0.0,0.26480671763420105,0.0,0.29728999733924866
0.0,0.26596635580062866,0.0,0.2949516475200653
0.0,0.26371604204177856,0.0,0.29539602994918823
0.0,0.26464322209358215,0.0,0.2964036464691162
0.0,0.26444128155708313,0.0,0.29824355244636536
0.0,0.26369601488113403,0.0,0.29259058833122253
0.0,0.26365336775779724,0.0,0.29406529664993286
0.0,0.26338547468185425,0.0,0.2930159270763397
0.0,0.26382800936698914,0.0,0.2979489266872406
0.0,0.264322429895401,0.0,0.2974933087825775
0.0,0.26203563809394836,0.0,0.299470990896225
0.0,0.26284608244895935,0.0,0.29221394658088684
0.0,0.26273977756500244,0.0,0.29378652572631836
0.0,0.2614288628101349,0.0,0.29772546887397766
0.0,0.26055774092674255,0.0,0.3007911145687103
0.0,0.26076647639274597,0.0,0.2970716953277588
0.0,0.26112377643585205,0.0,0.31278669834136963
0.0,0.26051101088523865,0.0,0.29482170939445496
0.0,0.26198646426200867,0.0,0.29404884576797485
0.0,0.2602497935295105,0.0,0.3028055727481842
